dateTime,country,city,region,screenRed,surveyType,purposeProductInfo,purposeBuyFromSite,purposeComparePricing,purposeInfoAndResources,purposeInfoOnOrder,purposeOther,taskFindWhatLookingFor,concernShippingCost,concernDeliverySpeed,concernWarranties,concernEaseToReturnProduct,concernProductSafety,concernRightForMyChild,concernProductQuality,concernProductEffectiveness,concernOther,concernNone,intentWasPlanningToBuy,profile,whenSiteUsed,purchasedBefore,purchasedWhen,productKnewWhatWanted,productSiteHasWhatWanted,purchaseExpectInNextMonth,siteFirstHeardAbout,age,gender,behavNumVisits,behavReferral,behavPageviews,behavHomePage,behavDetailProdA,behavDetailProdB,behavDetailProdC,behavAnySolution,behavAnySale,behavCart,behavConversion
7/28/2014 9:48,United States,Henderson,NC,1280x1024,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Health Professional,In the past year,No,,Somewhat,"Yes, several of them",3,In the past year,35-44,Female,3,Unbranded Search,10+,1,1,1,1,0,1,0,0
7/28/2014 9:51,United States,New York,NY,1280x1024,At Exit,Products,,,,,,None of it,,,,,,,,,,,,Other,Never. This is my first visit,,,No,Not sure,2,In the past hour,35-44,Female,1,Social,7 to 9,1,0,0,0,0,0,0,0
7/28/2014 10:53,United States,Seabrook,TX,1024x768,At Exit,Products,,,,,,Most or all of it,,,,,,Whether this is right for my child,,,,,,Parent,Never. This is my first visit,,,Somewhat,"Yes, several of them",3,,35-44,Female,1,Referred,4 to 6,0,1,1,0,0,0,0,0
7/28/2014 11:01,United States,De Forest,WI,768x1024,At Exit,,,Compare pricing,Resources,,,Most or all of it,,,,,,,,,,,,Parent,Never. This is my first visit,,,No,"Yes, several of them",4,In the past hour,25-34,Female,3,Unbranded Search,10+,0,1,0,0,1,0,0,0
7/28/2014 11:18,United States,Georgetown,TX,768x1024,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Teacher,Never. This is my first visit,,,,,,,,,1,Referred,4 to 6,0,1,0,0,0,0,0,0
7/28/2014 11:19,United States,Macomb,IL,1600x900,At Exit,,Buy from this site,,,,,Most or all of it,,,,,,,,,,,Yes,Teacher,In the past year,"Yes, more than once",More than a year ago,Yes,"Yes, several of them",2,More than 1 year ago,35-44,Female,1,Direct,4 to 6,1,0,0,0,0,0,1,1
7/28/2014 13:13,United States,Beaverton,MI,1920x1080,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Relative,Never. This is my first visit,,,No,Not sure,3,,,,1,Unbranded Search,4 to 6,1,0,0,1,1,0,0,0
7/28/2014 13:57,Israel,Tel Aviv,5,1366x768,At Arrival Only,Products,,,,,,,,,,,,,,,,,,Parent,More than a year ago,No,,Somewhat,,3,,,,1,Referred,10+,1,1,0,0,0,0,0,0
7/28/2014 14:40,United States,Abingdon,MD,1280x1024,At Arrival and Exit,Products,,,,,,Some of it,,,,,,,,,,,,Parent,Never. This is my first visit,,,Somewhat,,3,"Just now, from the website or survey",,,1,Unbranded Search,4 to 6,0,0,0,0,0,0,0,0
7/28/2014 15:01,United States,Sioux Falls,SD,768x1024,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Health Professional,In the past month,"Yes, once",In the past year,Somewhat,"Yes, several of them",3,,,,1,Unbranded Search,4 to 6,1,0,0,0,0,1,0,0
7/28/2014 15:34,United States,Rupert,WV,1440x900,At Exit,,Buy from this site,,,,,Most or all of it,,,,,,,,,,,Yes,Parent,In the past year,"Yes, once",In the past year,Somewhat,"Yes, several of them",4,,,,1,Referred,7 to 9,1,0,1,0,0,0,1,1
7/28/2014 18:14,United States,Albuquerque,NM,1024x819,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Parent,Never. This is my first visit,,,Yes,"Yes, several of them",4,In the past hour,25-34,Female,2,Unbranded Search,10+,0,1,1,1,0,0,0,0
7/28/2014 18:40,United States,Nanticoke,PA,768x1024,At Exit,Products,Buy from this site,Compare pricing,Resources,,,Some of it,Shipping costs,,Warranties/product guarantees,Ease of returning (if I am not satisfied with product),,,,,,,Partially (I was considering it),Parent,In the past year,No,,Somewhat,"Yes, several of them",4,In the past year,35-44,Female,2,Unbranded Search,10+,0,0,0,0,0,0,0,0
7/28/2014 19:07,Australia,Melbourne,7,1600x900,At Arrival and Exit,Products,Buy from this site,,,,,Most or all of it,,,,,,,,,,,Partially (I was considering it),Other,Never. This is my first visit,,,Somewhat,,3,,,,1,Unbranded Search,4 to 6,0,0,0,0,0,0,0,0
7/28/2014 19:13,United States,Lake Oswego,OR,1920x1080,At Arrival and Exit,Products,,,,,,None of it,,,,,,,,,,None / no uncertainties,,Relative,Never. This is my first visit,,,Yes,,4,,Less than 18,Male,1,Unbranded Search,7 to 9,0,0,1,0,0,0,0,0
7/28/2014 19:58,United States,Salt Lake City,UT,2560x1440,At Arrival Only,Products,Buy from this site,Compare pricing,Resources,,,,,,,,,,,,,,Partially (I was considering it),Parent,Never. This is my first visit,,,Somewhat,,3,,,,3,Unbranded Search,10+,1,1,0,0,0,0,0,0
7/28/2014 20:18,United States,Utica,NY,768x1024,At Arrival Only,,,Compare pricing,,,,,,,,,,,,,,,,Parent,In the past month,No,,No,,3,,,,2,Unbranded Search,4 to 6,1,1,0,0,0,0,0,0
7/28/2014 20:22,Canada,Kamloops,BC,768x1024,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Parent,Never. This is my first visit,,,Somewhat,Not sure,3,,,,1,Direct,7 to 9,1,0,0,0,1,0,1,0
7/28/2014 20:31,Canada,Beamsville,ON,1366x768,At Arrival Only,Products,,,Resources,,,,,,,,,,,,,,,Teacher,Never. This is my first visit,,,Somewhat,,3,,,,1,Unbranded Search,7 to 9,0,1,0,0,0,0,0,0
7/28/2014 20:39,United States,Portland,OR,1920x1080,At Arrival and Exit,,,,,,Other,Some of it,,,,,,,,,,,,Health Professional,Never. This is my first visit,,,,,3,"Just now, from the website or survey",25-34,Female,1,Unbranded Search,7 to 9,0,1,0,0,0,0,0,0
7/28/2014 21:09,United States,Ukiah,CA,1280x800,At Arrival Only,Products,,,,,,,,,,,,,,,,,,Parent,Never. This is my first visit,,,No,,3,,,,1,Social,10+,1,1,0,0,1,0,0,0
7/28/2014 21:27,United States,Salisbury,NC,1280x720,At Arrival and Exit,,Buy from this site,,,,,Most or all of it,,,,,,,,,,,Yes,Relative,In the past week,No,,Somewhat,,5,In the past week,35-44,Female,2,Direct,4 to 6,1,0,0,0,0,0,1,1
7/28/2014 21:35,United States,Parsippany,NJ,1280x800,At Exit,Products,,,,,,Some of it,,,,,,,,,,,,Health Professional,In the past month,No,,Yes,,3,,45-54,Female,4,Unbranded Search,10+,0,0,1,0,0,0,0,0
7/28/2014 22:11,Canada,Victoria,BC,1280x800,At Arrival Only,Products,,,,,,,,,,,,,,,,,,Health Professional,Never. This is my first visit,,,No,,3,,,,1,Unbranded Search,10+,1,0,1,0,1,0,0,0
7/28/2014 22:35,United States,Pulaski,WI,1024x768,At Arrival Only,Products,,,,,,,,,,,,,,,,,,Parent,Never. This is my first visit,,,Somewhat,,3,,,,1,Unbranded Search,2 to 3,0,1,0,0,0,0,0,0
7/28/2014 23:26,United States,Alabaster,AL,1600x900,At Exit,,,Compare pricing,,,,Some of it,,,,,,,,,,,,Teacher,Never. This is my first visit,,,Somewhat,"Yes, several of them",2,"Just now, from the website or survey",,,1,Unbranded Search,4 to 6,0,0,1,0,0,0,0,0
7/28/2014 23:48,United States,Belleville,IL,1920x1080,At Arrival Only,Products,,,,,,,,,,,,,,,,,,Teacher,Never. This is my first visit,,,,,,,,,1,Social,4 to 6,0,1,0,0,0,0,0,0
7/29/2014 0:13,United States,West Monroe,LA,1920x1080,At Exit,,Buy from this site,,,,,Some of it,,,,,,,,,,,Yes,Health Professional,In the past week,"Yes, more than once",In the past year,Somewhat,"Yes, several of them",4,More than 1 year ago,55-64,Female,7,Direct,2 to 3,1,0,0,0,0,0,0,0
7/29/2014 0:23,United States,San Antonio,TX,1680x1050,At Exit,Products,,,,,,Most or all of it,Shipping costs,,,Ease of returning (if I am not satisfied with product),,,,Product effectiveness/will it work,,,,Parent,In the past month,No,,Yes,"Yes, several of them",5,In the past year,45-54,Female,4,Direct,10+,1,1,1,1,0,0,1,0
7/29/2014 7:39,United States,Coatesville,PA,768x1024,At Exit,Products,,,Resources,,,Most or all of it,,,,,,,,,,,,Health Professional,Never. This is my first visit,,,No,"Yes, several of them",4,,,,1,Self Referred,1,0,0,0,0,0,1,0,0
7/29/2014 8:38,United States,Kyle,TX,768x1024,At Arrival Only,Products,,,,,,,,,,,,,,,,,,Parent,Never. This is my first visit,,,,,,,,,1,Unbranded Search,1,0,1,0,0,0,0,0,0
7/29/2014 9:32,United States,Ann Arbor,MI,1280x1024,At Arrival Only,Products,Buy from this site,Compare pricing,,,,,,,,,,,,,,,Partially (I was considering it),Parent,In the past week,No,,Somewhat,,3,,,,4,Direct,4 to 6,1,0,0,0,0,0,0,0
7/29/2014 11:01,United States,Hickory,NC,1366x768,At Arrival Only,Products,,Compare pricing,Resources,,,,,,,,,,,,,,,Parent,More than a year ago,No,,No,,3,,,,1,Direct,4 to 6,0,0,1,0,0,0,0,0
7/29/2014 11:07,Canada,Welland,ON,768x1024,At Exit,Products,Buy from this site,,Resources,,,,,,,,,,,,,,Partially (I was considering it),Parent,Never. This is my first visit,,,Somewhat,Not sure,3,"Just now, from the website or survey",Prefer not to answer,Female,2,Social,1,0,1,0,0,0,0,0,0
7/29/2014 11:13,United States,Jackson,MI,1366x768,At Exit,Products,,Compare pricing,Resources,,,Most or all of it,,,,,,,,,,,,Parent,In the past month,No,,Somewhat,"Yes, several of them",4,More than 1 year ago,18-24,Female,2,Direct,1,0,0,0,0,0,1,0,0
7/29/2014 11:22,United States,Stafford,VA,1280x800,At Arrival Only,Products,Buy from this site,Compare pricing,,,,,,,,,,,,,,,Partially (I was considering it),Health Professional,In the past week,"Yes, more than once",In the past year,Yes,,3,,,,1,Unbranded Search,4 to 6,1,0,0,0,0,0,0,0
7/29/2014 11:43,Costa Rica,,,1440x900,At Arrival Only,Products,,,Resources,,,,,,,,,,,,,,,Parent,In the past year,"Yes, more than once",In the past year,No,,3,,,,1,Direct,1,0,0,0,0,0,0,0,0
7/29/2014 11:52,United States,Caledonia,MI,768x1024,At Exit,Products,Buy from this site,Compare pricing,,,,Most or all of it,Shipping costs,,,Ease of returning (if I am not satisfied with product),,,,,,,Partially (I was considering it),Parent,In the past month,No,,Somewhat,Not sure,5,In the past year,55-64,Female,2,Direct,10+,0,1,0,0,1,0,1,1
7/29/2014 11:52,United States,Beltsville,MD,1536x864,At Arrival Only,Products,Buy from this site,,Resources,,,,,,,,,,,,,,Partially (I was considering it),Parent,Never. This is my first visit,,,,,,,,,1,Unbranded Search,10+,0,1,0,0,0,0,0,0
7/29/2014 11:56,United States,Whiting,IN,1280x1024,At Exit,Products,,Compare pricing,Resources,,,Some of it,,,,,,,,,,,,Parent,In the past week,No,,Somewhat,"Yes, one of them",4,In the past year,25-34,Female,4,Direct,2 to 3,0,0,0,0,0,1,0,0
7/29/2014 12:00,United States,Janesville,WI,1366x768,At Arrival and Exit,Products,,,,,,Most or all of it,,,Warranties/product guarantees,Ease of returning (if I am not satisfied with product),,Whether this is right for my child,,,,,,Parent,In the past year,"Yes, once",In the past year,Yes,,3,In the past year,25-34,Female,1,Direct,2 to 3,0,0,0,0,0,1,0,0
7/29/2014 12:29,United States,Chicago,IL,768x1024,At Arrival Only,Products,Buy from this site,,Resources,,,,,,,,,,,,,,Partially (I was considering it),Parent,More than a year ago,No,,No,,4,,,,3,Direct,1,0,0,0,0,0,0,0,0
7/29/2014 12:32,Canada,Leamington,ON,1366x768,At Arrival and Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Parent,Never. This is my first visit,,,Somewhat,,3,,,,1,Unbranded Search,10+,0,0,0,0,1,0,0,0
7/29/2014 12:32,United States,Moorestown,NJ,1600x900,At Arrival and Exit,Products,Buy from this site,,Resources,,,Some of it,,,,Ease of returning (if I am not satisfied with product),,Whether this is right for my child,,,,,Partially (I was considering it),Parent,In the past month,"Yes, once",In the past year,Somewhat,,4,In the past year,35-44,Female,3,Direct,10+,0,0,1,0,0,0,0,0
7/29/2014 12:41,Israel,,,1920x1080,At Arrival Only,Products,,,,,,,,,,,,,,,,,,Parent,Never. This is my first visit,,,,,3,,,,1,Unbranded Search,1,0,0,0,0,1,0,0,0
7/29/2014 13:33,United States,Downers Grove,IL,1440x900,At Arrival Only,,Buy from this site,,,,,,,,,,,,,,,,Partially (I was considering it),Parent,In the past month,"Yes, more than once",In the past year,Somewhat,,4,,,,8,Direct,2 to 3,1,0,0,0,0,0,0,0
7/29/2014 13:39,United States,Hurricane,UT,1280x720,At Arrival Only,,Buy from this site,,,,,,,,,,,,,,,,Partially (I was considering it),Parent,In the past month,"Yes, more than once",In the past month,,,,,,,1,Self Referred,4 to 6,0,1,1,0,0,0,0,0
7/29/2014 13:41,United States,Orlando,FL,1024x768,At Arrival and Exit,Products,,Compare pricing,,,,Most or all of it,Shipping costs,Fast delivery,,,,Whether this is right for my child,,Product effectiveness/will it work,,,,Health Professional,In the past year,"Yes, once",In the past year,Somewhat,,3,More than 1 year ago,25-34,Female,1,Referred,10+,0,1,1,1,0,0,0,0
7/29/2014 13:47,United States,Seattle,WA,1440x900,At Exit,Products,,,,,,Most or all of it,,,,,,,,,,,,Health Professional,In the past month,"Yes, more than once",In the past year,No,"Yes, several of them",3,More than 1 year ago,55-64,Female,2,Direct,1,0,0,0,0,0,0,0,0
7/29/2014 13:48,United States,Mankato,MN,600x904,At Arrival Only,Products,Buy from this site,Compare pricing,Resources,,,,,,,,,,,,,,Partially (I was considering it),Other,,,,Somewhat,,4,,,,1,Direct,4 to 6,0,0,0,0,0,0,0,0
7/29/2014 14:09,United States,Burbank,CA,1920x1200,At Arrival and Exit,Products,Buy from this site,,Resources,Order info,,Some of it,,,,,,,,,,,Partially (I was considering it),Parent,In the past year,"Yes, more than once",In the past year,Somewhat,,3,More than 1 year ago,35-44,Female,1,Direct,10+,0,1,0,0,0,0,0,0
7/29/2014 14:13,United States,Albany,NY,1152x864,At Arrival Only,,,Compare pricing,Resources,,,,,,,,,,,,,,,Parent,In the past month,No,,No,,3,,,,3,Direct,4 to 6,0,0,0,0,0,1,0,0
7/29/2014 14:14,United States,Denver,CO,1920x1080,At Arrival and Exit,Products,Buy from this site,,,,,Some of it,,,,,,,,,,,Partially (I was considering it),Parent,In the past year,"Yes, more than once",In the past year,Somewhat,,5,,,,15,Direct,2 to 3,1,0,1,0,0,0,0,0
7/29/2014 14:19,United States,Ridgewood,NY,768x1024,At Exit,,,,Resources,,,Most or all of it,,,,,,,,,,,,Health Professional,Never. This is my first visit,,,,,3,,,,1,Unbranded Search,1,0,0,0,0,0,0,0,0
7/29/2014 14:42,United States,Lincoln,NE,1024x768,At Arrival and Exit,Products,Buy from this site,Compare pricing,,,,Most or all of it,,,,,,,,,,None / no uncertainties,Partially (I was considering it),Parent,In the past week,No,,Yes,,5,In the past week,35-44,Female,1,Direct,10+,1,0,0,0,0,1,1,0
7/29/2014 14:48,United States,Poland,ME,1024x576,At Exit,Products,Buy from this site,Compare pricing,Resources,,,Most or all of it,,,,,,,,,,,No,Relative,In the past week,No,,Yes,"Yes, several of them",5,In the past week,Less than 18,Female,3,Direct,10+,0,1,0,0,1,1,0,0
7/29/2014 14:57,United States,Astoria,OR,1536x864,At Exit,,,,,,,Some of it,,,,,,,,,,,,Relative,Never. This is my first visit,,,,,3,In the past hour,55-64,Female,1,Referred,4 to 6,0,0,0,0,1,0,0,0
7/29/2014 15:00,United States,Hillsboro,MD,854x534,At Arrival Only,,,,Resources,,,,,,,,,,,,,,,Parent,In the past week,No,,,,3,,,,2,Direct,1,0,0,0,0,0,0,0,0
7/29/2014 15:05,United States,Reading,PA,1280x1024,At Arrival Only,Products,,,,,,,,,,,,,,,,,,Relative,In the past year,"Yes, once",More than a year ago,Yes,,1,,,,1,Direct,7 to 9,0,1,1,0,0,0,0,0
7/29/2014 15:10,United States,Sacramento,CA,1366x768,At Arrival Only,,Buy from this site,,,,,,,,,,,,,,,,Partially (I was considering it),Parent,In the past year,"Yes, more than once",In the past year,Somewhat,,3,,,,3,Branded Search,10+,1,1,0,0,0,1,0,0
7/29/2014 15:14,United States,Lincoln,NE,1920x1080,At Exit,Products,,,,,,Some of it,,,,,,,,Product effectiveness/will it work,,,,Health Professional,In the past month,"Yes, more than once",In the past month,Somewhat,,3,In the past year,25-34,Female,1,Unbranded Search,2 to 3,0,0,0,0,0,0,0,0
7/29/2014 15:28,United States,New York,NY,1440x900,At Arrival and Exit,Products,Buy from this site,,Resources,,,Most or all of it,,,,,Product safety,,Product durability/quality,Product effectiveness/will it work,,,Yes,Teacher,In the past month,"Yes, more than once",In the past month,Somewhat,,4,More than 1 year ago,35-44,Female,1,Unbranded Search,10+,1,0,1,0,0,1,1,1
7/29/2014 15:39,United States,Winter Garden,FL,768x1024,At Exit,Products,Buy from this site,,,,,Most or all of it,,,,,,,,,,None / no uncertainties,Partially (I was considering it),Parent,In the past year,"Yes, more than once",In the past year,Yes,"Yes, several of them",3,More than 1 year ago,35-44,Female,1,Direct,10+,0,1,0,0,1,1,0,0
7/29/2014 15:43,United States,Walton,NY,1280x1024,At Exit,,Buy from this site,,,,,Most or all of it,,,,,,,,,,None / no uncertainties,Yes,Other,In the past month,"Yes, more than once",In the past month,Yes,"Yes, several of them",3,In the past year,45-54,Female,1,Branded Search,4 to 6,0,0,0,0,0,0,1,1
7/29/2014 15:54,United States,Albuquerque,NM,1600x1000,At Arrival Only,,Buy from this site,,,,,,,,,,,,,,,,Yes,Parent,In the past month,"Yes, once",In the past year,Yes,,3,,,,1,Unbranded Search,2 to 3,0,1,0,0,0,0,0,0
7/29/2014 16:03,United States,Waco,TX,1024x552,At Arrival Only,Products,,Compare pricing,Resources,,,,,,,,,,,,,,,Parent,In the past month,"Yes, once",More than a year ago,Somewhat,,3,,,,3,Self Referred,1,0,0,0,0,0,1,0,0
7/29/2014 16:09,United States,,TX,768x1024,At Arrival Only,,Buy from this site,,,,,,,,,,,,,,,,Partially (I was considering it),Health Professional,In the past year,"Yes, more than once",In the past year,Somewhat,,4,,,,1,Direct,4 to 6,0,0,0,0,1,1,0,0
7/29/2014 16:54,United States,Bethlehem,PA,768x1024,At Arrival and Exit,,Buy from this site,,,,,Most or all of it,,,,,,,,,,,Partially (I was considering it),Parent,In the past month,"Yes, once",In the past year,Yes,,3,In the past year,35-44,Female,4,Direct,1,1,0,0,0,0,0,0,0
7/29/2014 16:59,United States,Elizabeth City,NC,1280x800,At Arrival Only,,,,Resources,,,,,,,,,,,,,,,Parent,Never. This is my first visit,,,,,,,,,1,Referred,1,1,0,0,0,0,0,0,0
7/29/2014 17:21,United States,Minneapolis,MN,1920x1080,At Exit,Products,Buy from this site,Compare pricing,Resources,,,Most or all of it,,,,,,,,,,,Partially (I was considering it),Parent,In the past month,No,,No,"Yes, several of them",3,In the past year,35-44,Female,6,Direct,10+,1,0,0,0,0,1,0,0
7/29/2014 18:04,Sweden,Märsta,26,1280x800,At Exit,Products,,Compare pricing,,,,Most or all of it,,,,,,,,,,,,Parent,In the past year,No,,Yes,"Yes, one of them",3,In the past year,45-54,Female,1,Unbranded Search,2 to 3,0,0,1,0,0,0,0,0
7/29/2014 18:13,United Kingdom,Basingstoke,F2,768x1024,At Arrival and Exit,,,Compare pricing,,,,Most or all of it,Shipping costs,Fast delivery,,,,,,,,,,Parent,In the past month,No,,Somewhat,,3,In the past year,25-34,Female,1,Self Referred,7 to 9,0,0,0,0,0,1,0,0
7/29/2014 18:36,United States,North Port,FL,1440x900,At Arrival Only,Products,,,,,,,,,,,,,,,,,,Parent,In the past year,"Yes, once",In the past year,,,,,,,1,Direct,2 to 3,0,1,0,0,0,0,0,0
7/29/2014 18:36,United States,Holland,MI,1366x768,At Arrival and Exit,Products,,Compare pricing,,,,Most or all of it,,Fast delivery,,,,,Product durability/quality,,,,,Parent,In the past year,"Yes, once",More than a year ago,Somewhat,,3,More than 1 year ago,25-34,Female,2,Direct,4 to 6,0,1,0,0,0,0,0,0
7/29/2014 18:36,United States,Marietta,GA,1366x768,At Arrival Only,,,,,,Other,,,,,,,,,,,,,Parent,In the past year,"Yes, more than once",In the past year,,,,,,,1,Unbranded Search,10+,1,0,1,0,0,1,0,0
