"margin","item","price"
4.103,"item435",196.99
0.64,"item436",15.09
24.64,"item437",2039
0.013,"item438",0.19
5.33,"item439",280.99
-0.557,"item44",2.59
3.367,"item440",149.99
-0.022,"item441",0.29
0.47,"item443",9.99
9.541,"item444",609
-0.71,"item445",9.69
-0.51,"item446",1.19
-0.798,"item447",17.09
2.079,"item448",77.19
20.147,"item449",1579
1.267,"item45",38.69
5.864,"item450",318.99
-0.771,"item451",14.49
8.265,"item452",499
0.011,"item453",0.09
1.667,"item454",56.79
4.792,"item455",251.99
3.265,"item456",148.99
11.847,"item457",829
5.219,"item458",282.99
-0.267,"item459",1.69
-0.516,"item46",1.49
2.54,"item460",105.99
-0.766,"item461",14.49
0.531,"item462",12.19
-0.328,"item463",1.49
7.528,"item464",460.99
0.853,"item465",23.19
0.55,"item466",12.69
0.699,"item467",17.59
-0.165,"item468",1.49
-0.143,"item469",1.39
4.26,"item47",214.99
0.187,"item470",3.19
-0.918,"item471",38.89
39.981,"item472",3849
-0.244,"item473",1.69
4.356,"item474",220.99
-0.767,"item475",14.59
1.8,"item476",65.39
1.825,"item477",66.69
2.723,"item478",115.99
4.927,"item479",260.99
3.513,"item48",164.99
8.721,"item480",559
-0.678,"item481",8.29
1.596,"item482",57.19
0.001,"item483",0.19
4.093,"item484",209.99
-0.658,"item485",7.19
13.971,"item486",1069
-0.075,"item487",0.89
6.16,"item488",364.99
2.998,"item489",136.99
-0.815,"item49",20.49
0.466,"item490",10.59
3.716,"item491",183.99
7.497,"item492",473.99
1.887,"item493",72.29
2.571,"item494",110.99
1.14,"item495",35.79
0.429,"item496",9.49
1.217,"item497",39.19
3.736,"item498",185.99
2.66,"item499",115.99
6.681,"item5",406.99
6.793,"item50",415.99
0.44,"item500",9.79
-0.516,"item501",1.49
-0.132,"item502",1.39
8.234,"item503",539
8.753,"item504",579
0.193,"item505",3.49
-0.816,"item506",20.49
12.355,"item507",909
-0.176,"item508",1.69
0.838,"item509",24.19
0.825,"item51",23.59
0.012,"item510",0.19
2.562,"item511",113.99
1.762,"item512",67.89
15.921,"item513",1299
1.43,"item514",50.69
1.766,"item515",68.09
2.439,"item516",106.99
-0.136,"item517",1.49
-0.221,"item518",1.79
4.013,"item519",211.99
-0.449,"item52",0.19
3.33,"item520",163.99
1.669,"item522",62.99
0.488,"item523",11.59
33.649,"item524",3329
-0.964,"item525",62.29
7.653,"item526",499
7.863,"item527",519
0.113,"item528",1.89
3.234,"item529",157.99
-0.49,"item530",0.89
4.827,"item531",271.99
7.385,"item532",479.99
5.711,"item533",340.99
7.151,"item534",459.99
10.521,"item535",759
1.319,"item536",45.29
9.978,"item537",709
0.351,"item538",7.79
-0.679,"item539",8.89
-0.803,"item54",20.19
9.267,"item540",669
9.667,"item541",709
14.531,"item542",1199
2.917,"item543",140.99
4.562,"item544",259.99
2.951,"item545",142.99
-0.74,"item546",13.59
-0.377,"item547",1.19
11.597,"item548",889
0.975,"item549",30.69
3.531,"item55",182.99
3.047,"item550",149.99
3.175,"item551",158.99
22.676,"item552",2099
5.626,"item553",344.99
3.885,"item555",208.99
6.215,"item556",393.99
3.976,"item557",215.99
-0.061,"item558",0.79
5.182,"item559",308.99
1.875,"item56",76.39
-0.752,"item560",14.69
0.51,"item561",12.69
0.904,"item562",27.69
3.593,"item563",187.99
0.299,"item564",6.29
2.48,"item565",112.99
-0.787,"item566",18.29
12.829,"item567",1019
-0.56,"item568",3.09
5.896,"item569",378.99
0.459,"item57",11.39
9.877,"item570",749
-0.303,"item571",1.79
7.954,"item572",559
14.561,"item573",1239
2.391,"item574",109.99
1.212,"item575",42.89
-0.713,"item576",11.69
0.493,"item577",12.49
-0.39,"item578",0.99
2.27,"item579",102.99
0.599,"item58",16.29
1.815,"item580",75.29
2.882,"item581",142.99
-0.618,"item582",5.69
0.94,"item583",30.09
28.941,"item584",2939
0.768,"item586",22.79
1.135,"item587",39.09
0.921,"item588",29.29
4.406,"item589",255.99
250.748,"item59",39009
0.173,"item590",3.29
0.338,"item591",7.59
0.136,"item592",2.49
-0.183,"item593",1.79
-0.363,"item594",1.39
1.168,"item595",40.69
-0.385,"item596",1.09
1.763,"item597",72.29
-0.008,"item598",0.09
0.099,"item599",1.79
-0.805,"item6",21.79
13.524,"item60",1159
2.641,"item600",130.99
0.205,"item601",4.19
-0.742,"item602",14.59
0.388,"item603",9.39
2.966,"item604",152.99
-0.532,"item605",2.19
-0.26,"item606",1.99
0.394,"item607",9.59
2.593,"item608",126.99
-0.442,"item609",0.19
0.401,"item61",9.79
4.852,"item610",299.99
61.004,"item611",7539
2.601,"item612",127.99
13.431,"item613",1149
9.27,"item614",709
2.13,"item615",96.99
-0.872,"item616",33.09
5.301,"item617",337.99
3.22,"item618",171.99
-0.73,"item619",13.59
-0.047,"item62",0.69
-0.17,"item620",1.79
17.555,"item621",1619
6.661,"item622",458.99
-0.239,"item623",1.99
0.998,"item624",33.69
0.142,"item626",2.69
-0.453,"item627",0.19
0.512,"item628",13.59
-0.611,"item629",5.49
-0.581,"item63",4.19
0.118,"item630",2.29
-0.449,"item631",0.19
-0.557,"item632",3.19
7.256,"item633",529
3.991,"item634",236.99
3.745,"item635",216.99
-0.568,"item637",3.59
1.588,"item638",66.29
3.825,"item639",223.99
-0.886,"item64",37.39
1.657,"item640",70.39
-0.713,"item641",12.49
3.242,"item642",177.99
3.969,"item643",234.99
10.881,"item644",899
-0.417,"item645",0.69
0.426,"item646",10.99
2.398,"item647",117.99
36.363,"item648",4129
11.125,"item649",929
0.998,"item65",34.69
-0.898,"item650",40.69
1.22,"item651",45.89
74.351,"item652",9849
-0.378,"item653",1.29
2.595,"item654",130.99
0.692,"item655",20.99
3.616,"item656",206.99
41.784,"item657",4899
0.73,"item658",22.59
2.553,"item659",127.99
5.599,"item66",374.99
0.128,"item660",2.49
8.29,"item661",629
2.502,"item662",127.99
10.977,"item663",939
0.795,"item664",26.09
-0.905,"item665",43.89
5.923,"item667",415.99
0.037,"item668",0.69
10.171,"item669",849
5.078,"item67",337.99
-0.845,"item670",29.59
-0.379,"item671",1.29
2.614,"item672",135.99
10.297,"item673",859
-0.905,"item674",43.89
1.258,"item675",49.29
4.403,"item676",278.99
-0.81,"item677",23.79
-0.298,"item678",1.99
28.092,"item679",3089
4.594,"item68",294.99
0.056,"item680",0.99
8.672,"item681",689
0.061,"item682",1.09
3.089,"item683",171.99
-0.141,"item684",1.69
10.525,"item686",889
-0.774,"item687",19.09
4.713,"item688",305.99
3.223,"item689",181.99
4.987,"item69",329.99
-0.795,"item690",21.69
0.111,"item691",2.19
-0.828,"item692",26.49
15.496,"item693",1459
1.429,"item694",58.89
-0.302,"item695",1.99
4.504,"item696",287.99
2.202,"item697",109.99
2.236,"item698",112.99
-0.674,"item699",9.99
28.195,"item7",3189
-0.355,"item70",1.59
1.43,"item700",60.59
-0.824,"item701",26.69
30.869,"item702",3569
1.577,"item703",69.39
1.703,"item704",77.29
5.136,"item705",352.99
0.631,"item706",19.59
13.345,"item707",1239
0.048,"item708",0.89
-0.752,"item709",16.99
0.209,"item71",4.69
0.721,"item710",23.39
-0.144,"item711",1.79
-0.505,"item712",1.49
-0.251,"item713",2.19
-0.726,"item714",14.29
-0.838,"item715",29.09
0.106,"item716",2.09
-0.07,"item718",0.99
19.82,"item719",2049
1.024,"item72",37.99
-0.282,"item720",2.19
19.503,"item721",2009
-0.59,"item722",4.89
61.876,"item723",8349
15.501,"item724",1499
2.716,"item725",147.99
16.648,"item726",1639
-0.544,"item727",2.89
1.102,"item728",42.09
0.14,"item729",2.89
5.994,"item73",433.99
0.993,"item730",37.39
0.756,"item731",25.69
-0.457,"item732",0.09
0.263,"item733",6.39
-0.411,"item734",0.79
1.978,"item735",97.79
3.337,"item736",201.99
0.49,"item737",14.29
8.656,"item738",729
22.346,"item739",2449
-0.313,"item74",2.09
11.78,"item740",1079
-0.323,"item741",1.99
1.576,"item742",71.19
7.41,"item743",589
0.916,"item744",33.49
-0.422,"item745",0.59
-0.417,"item746",0.69
-0.181,"item747",2.09
-0.709,"item748",13.09
0.806,"item749",28.09
0.083,"item75",1.59
0.455,"item750",12.99
0.569,"item751",17.49
4.75,"item753",325.99
-0.851,"item754",32.49
2.164,"item755",110.99
-0.728,"item756",14.99
17.224,"item757",1759
-0.084,"item758",1.29
0.417,"item759",11.59
2.628,"item76",144.99
0.556,"item761",16.89
8.448,"item762",699
0.569,"item763",17.49
-0.409,"item764",0.89
18.381,"item765",1909
1.549,"item766",69.49
0.891,"item767",33.09
9.613,"item768",849
2.65,"item769",150.99
5.172,"item77",374.99
0.883,"item770",32.69
0.821,"item771",29.49
-0.419,"item772",0.69
4.343,"item773",295.99
3.945,"item774",259.99
1.201,"item775",49.99
1.232,"item776",51.89
12.478,"item777",1199
2.466,"item778",135.99
5.716,"item779",428.99
-0.246,"item78",2.29
-0.763,"item780",19.19
1.041,"item781",40.99
3.741,"item782",241.99
-0.489,"item783",1.09
4.558,"item784",316.99
0.749,"item786",25.99
0.857,"item787",31.29
44.729,"item788",5929
-0.261,"item789",2.29
10.938,"item79",1009
-0.362,"item790",1.59
0.208,"item791",4.89
1.725,"item792",82.89
-0.687,"item793",11.59
1.289,"item794",55.19
-0.159,"item795",1.99
5.728,"item796",430.99
1.212,"item797",50.69
-0.819,"item798",27.29
0.51,"item799",15.49
2.13,"item8",110.99
10.198,"item80",919
22.075,"item800",2479
0.241,"item801",5.89
2.426,"item802",136.99
-0.52,"item803",2.09
8.492,"item804",739
0.933,"item805",36.09
3.642,"item806",238.99
-0.468,"item807",0.39
1.435,"item808",65.79
9.587,"item809",869
1.746,"item81",86.49
1.465,"item810",67.69
-0.069,"item811",1.09
0.21,"item812",5.09
0.353,"item813",9.79
2.048,"item814",107.99
0.05,"item815",0.99
-0.163,"item816",2.09
8.828,"item817",779
2.064,"item818",108.99
11.066,"item819",1049
0.144,"item82",3.29
0.952,"item820",37.19
1.061,"item821",43.19
0.255,"item822",6.49
-0.495,"item823",1.29
-0.047,"item824",0.79
-0.511,"item825",1.79
4.298,"item826",299.99
8.473,"item827",739
-0.595,"item828",5.59
-0.959,"item829",76.29
0.045,"item83",0.89
0.728,"item830",25.69
-0.73,"item831",15.89
-0.346,"item832",1.89
0.749,"item834",26.69
3.91,"item835",263.99
-0.495,"item836",1.29
1.519,"item837",71.19
5.003,"item838",367.99
19.614,"item839",2189
-0.861,"item84",37.29
77.027,"item840",12039
5.311,"item841",408.99
-0.584,"item842",5.09
-0.234,"item843",2.49
2.09,"item844",113.99
-0.293,"item845",2.29
16.534,"item846",1809
89.127,"item847",14339
-0.374,"item848",1.49
-0.285,"item849",2.39
-0.921,"item85",56.19
0.078,"item850",1.69
-0.494,"item851",1.29
4.939,"item852",370.99
-0.89,"item853",45.09
6.492,"item854",529
-0.665,"item86",10.29
-0.345,"item87",1.89
0.013,"item88",0.29
1.617,"item89",79.69
2.304,"item9",129.99
-0.438,"item90",0.29
-0.321,"item91",2.19
1.958,"item92",103.99
6.186,"item93",499
0.876,"item94",33.99
0.722,"item95",25.99
7.999,"item96",709
20.41,"item97",2359
-0.621,"item98",7.29
